slug,title,year,decade,genres,language,runtime,logline,status,licence_note,territory,credit,publish,cross_listed
bf-a-bittersweet-life-2005,A Bittersweet Life,2005,2000s,Action Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-bronx-tale-1993,A Bronx Tale,1993,1990s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-desert-2025,A Desert,2025,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-mother-s-embrace-2025,A Mother's Embrace,2025,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-perfect-day-2015,A Perfect Day,2015,2010s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-perfect-plan-2021,A Perfect Plan,2021,2020s,Action,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-second-chance-2020,A Second Chance,2020,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-song-of-love-2020,A Song of Love,2020,2020s,Musical,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-very-bad-day-2019,A Very Bad Day,2019,2010s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-a-i-rising-2020,A.I. Rising,2020,2020s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-above-the-knee-2024,Above the Knee,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-adam-2019,Adam,2019,2010s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-adventure-mouse-2019,Adventure Mouse,2019,2010s,Animation,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-affection-2026,Affection,2026,2020s,Horror Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-albatross-2011,Albatross,2011,2010s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-alien-parasite-2020,Alien Parasite,2020,2020s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-alive-2020,Alive,2020,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-all-you-need-is-death-2023,All You Need Is Death,2023,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
