slug,title,year,decade,genres,language,runtime,logline,status,licence_note,territory,credit,publish
1984-1956,1984,1956,1950s,Drama; Sci-Fi,English,87,"In a totalitarian future society, Winston Smith, whose daily work is re-writing history, tries to rebel by falling in love.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
a-double-life-1947,A Double Life,1947,1940s,Drama; Film-Noir,,,"An actor so committed to his craft that he can't shake his roles off stage begins to merge with the murderous character of Othello, with fatal consequences.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
a-woman-without-love-1952,A Woman Without Love,1952,1950s,Drama,,85,"After indulging in an affair with a man (a friend of the family) she truly loves, a woman returns to her young son and husband for good, and loses contact with the man. Her husband is unaware of the affair. Twenty years later, there is news that the friend has died and left all of his money to the younger son in the family, which leads us to question this younger son's biological origin...",Available,No current licence on this title. Available across all platforms and territories.,,,yes
anni-difficili-1948,Anni difficili,1948,1940s,Drama; War,,,"Aldo Piscitello, a minor government clerk, is forced in 1934 to join the Fascist party. When the war comes, he finds himself able only to talk ineffectually in secret against Mussolini, even as his own son Giovanni is sent into battle. By the end of the war, Aldo has found the courage to stand up for his beliefs, but by then it is too late.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
arch-of-triumph-1948,Arch of Triumph,1948,1940s,Drama; Romance; War,,,A refugee surgeon hiding in pre-war Paris falls for a troubled woman while hunting the Gestapo agent who tortured him.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
bad-man-of-deadwood-1941,Bad Man of Deadwood,1941,1940s,Western,,,"A traveling medicine show run by Roy and Gabby runs afoul of the outlaw gang controlling the town of Deadwood, and stays to bring them to justice.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
bad-man-s-river-1971,Bad Man's River,1971,1970s,Western; Comedy,,,"An outlaw is swindled out of his loot by the woman he just married, then crosses paths with her again — now married to a Mexican revolutionary — while chasing a million-dollar government cheque.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
baran-2001,Baran,2001,2000s,Drama; Romance,Farsi,94,"In a building site in present-day Tehran, Lateef, a 17-year-old Turkish worker is irresistibly drawn to Rahmat, a young Afghan worker. The revelation of Rahmat's secret changes both their lives.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
beautiful-1951,Beautiful,1951,1950s,Drama,Italian,109,A woman from the lower class desperately tries to get her daughter into the movies.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
bedazzled-1967,Bedazzled,1967,1960s,Comedy; Fantasy,,,"A lovesick short-order cook sells his soul to the Devil for seven wishes to win the woman of his dreams, with predictably chaotic results.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
bells-of-coronado-1950,Bells of Coronado,1950,1950s,Western; Musical,,,"Roy Rogers investigates a uranium-smuggling operation hidden behind a legitimate mining company, with Dale Evans working undercover on the inside.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
bells-of-rosarita-1945,Bells of Rosarita,1945,1940s,Western; Musical,,,Roy Rogers helps a traveling circus owner (Dale Evans) fend off a crooked scheme to seize her family ranch before she can inherit it.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
berlin-express-1948,Berlin Express,1948,1940s,Drama; Film-Noir; Mystery,,,An international group of passengers on a train through occupied postwar Germany is drawn into a Nazi underground plot to assassinate a leader pushing for Allied unity.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
bicycle-thieves-1948,Bicycle Thieves,1948,1940s,Drama,,,A poor father in postwar Rome and his young son scour the city for the stolen bicycle he desperately needs to keep his new job.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
big-time-operators-1957,Big Time Operators,1957,1950s,Comedy,,80,"A young couple inherits a debt-ridden old movie theater, appropriately nicknamed ""The Flea Pit"", and the three eccentric senior citizens who work there.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
black-girl-1966,Black Girl,1966,1960s,Drama,French,58,A black girl from Senegal becomes a servant in France.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
black-sabbath-1963,Black Sabbath,1963,1960s,Horror,Italian,92,"Boris Karloff hosts a trio of horror stories concerning a stalked call girl, a vampire-like monster who preys on his family, and a nurse who is haunted by her ring's rightful owner.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
blowing-wild-1953,Blowing Wild,1953,1950s,Action; Adventure; Drama,English,60,"In South America, after Jeff Dawson and Dutch Peterson's oil rigs are dynamited by local bandits, the two partners resort to risky transportation of nitroglycerin to raise money.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
boeing-boeing-1965,"Boeing, Boeing",1965,1960s,Comedy,,,A Paris-based playboy juggles engagements to three international airline stewardesses using their flight schedules — until faster jets throw all three into town at once.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
bon-voyage-1944,Bon Voyage,1944,1940s,Short; War,French,26,"A young Scottish R. A. F. Gunner is debriefed by French officials about his escape from occupied territory, and in particular one person who may or may not have been a German Agent.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
cairo-station-1958,Cairo Station,1958,1950s,Crime; Drama,,77,A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
captain-apache-1971,Captain Apache,1971,1970s,Western; Mystery,,,A Native American U.S. Cavalry officer investigates the murder of an Indian Affairs commissioner and uncovers a conspiracy to assassinate the President.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
caravaggio-1986,Caravaggio,1986,1980s,Biography; Drama; History,English,93,"A retelling of the life of the celebrated 17th-century painter through his brilliant, nearly blasphemous paintings and his flirtations with the underworld.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
charade-1963,Charade,1963,1960s,Thriller; Comedy; Romance,,,"A widow in Paris is pursued by men hunting a fortune her murdered husband stole, unsure which of them — including a charming stranger — she can trust.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
cloak-and-dagger-1946,Cloak and Dagger,1946,1940s,Thriller; War,,,An American physicist is recruited by the OSS to extract a nuclear scientist from occupied Europe before the Nazis can complete an atomic weapon.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
comanche-1956,Comanche,1956,1950s,Drama; Western,,87,Common efforts of the U.S. government and the Comanche nation to negotiate a peace treaty are sabotaged by renegade Indians and by the short-sighted Indian Commissioner (Lowell Gilmore).,Available,No current licence on this title. Available across all platforms and territories.,,,yes
