slug,title,year,decade,genres,language,runtime,logline,status,licence_note,territory,credit,publish,cross_listed
sc-a-liar-s-autobiography,A Liar's Autobiography,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-absolute-denial,Absolute Denial,,,Animation Documentary,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-alive-2019,Alive,2019,2010s,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-ark-at-8,Ark At 8,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-around-the-ocean-in-80-days,Around the Ocean in 80 Days,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-awaydays-2018,Awaydays,2018,2010s,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-bad-ass,Bad Ass,,,Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-bel-ami,Bel Ami,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-best-birthday-ever,Best Birthday Ever,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-big-fish-and-begonia,Big Fish and Begonia,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-breeder,Breeder,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-buffalo-kids,Buffalo Kids,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-bullet,Bullet,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-captive,Captive,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-chameleon,Chameleon,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-charming,Charming,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-choose,Choose,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-cockneys-vs-zombies,Cockneys vs Zombies,,,Horror Comedy,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-cotton-eye-joe,Cotton Eye Joe,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-daffodils-2019,Daffodils,2019,2010s,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-dead-within,Dead Within,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-deathkeeper,Deathkeeper,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-december,December,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-demon-hole,Demon Hole,,,Horror,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
